Serial_Number,Power,Flow,Volume,ReturnTemperature,FlowTemperature,MWH,DateTime,Minute,Hour,Day,Month,Year
80074580,16.1,2003.0,14255.2,55.59,62.63,60.75,2020-02-12 21:24:21,30,21,12,2,2020
80092945,12.2,2433.0,21101.2,55.57,59.61,181.88,2020-02-12 21:28:27,30,21,12,2,2020
80074581,0.8,5000.0,18999.9,63.11,63.28,1.1,2020-02-12 21:35:39,45,21,12,2,2020
71477357,3.7,857.0,6815.9,57.38,61.46,37.83,2020-02-12 21:37:12,45,21,12,2,2020
71438771,6.2,720.0,3703.0,56.96,64.47,17.05,2020-02-12 21:42:08,45,21,12,2,2020
80092948,32.8,6807.0,64458.5,60.88,64.95,122.01,2020-02-12 21:48:48,60,21,12,2,2020
80074580,14.3,2087.0,14256.3,59.02,65.54,60.76,2020-02-12 21:54:21,60,21,12,2,2020
71477358,26.9,1664.0,5690.5,51.23,65.3,54.54,2020-02-12 21:55:18,60,21,12,2,2020
80092945,20.9,2624.0,21102.6,56.73,62.82,181.9,2020-02-12 21:58:27,60,21,12,2,2020
71438771,2.1,883.0,3703.4,59.02,61.17,17.05,2020-02-12 22:12:08,15,22,12,2,2020
80074581,0.8,5317.0,19003.8,62.31,62.48,1.1,2020-02-12 22:20:39,30,22,12,2,2020
71477357,25.1,1629.0,6816.6,48.54,61.25,37.83,2020-02-12 22:22:12,30,22,12,2,2020
80074580,14.0,1955.0,14257.3,57.76,63.85,60.76,2020-02-12 22:24:21,30,22,12,2,2020
71477358,15.6,1597.0,5691.1,55.0,63.0,54.55,2020-02-12 22:25:18,30,22,12,2,2020
80074580,9.3,1947.0,14257.8,59.6,63.94,60.76,2020-02-12 22:39:21,45,22,12,2,2020
80092945,9.7,2420.0,21104.7,57.8,61.19,181.92,2020-02-12 22:43:27,45,22,12,2,2020
80074581,0.6,5522.0,19006.5,62.11,62.22,1.1,2020-02-12 22:50:39,60,22,12,2,2020
71438771,5.5,746.0,3703.9,55.77,61.08,17.06,2020-02-12 22:57:09,60,22,12,2,2020
80074581,0.1,5531.0,19007.9,61.73,61.74,1.1,2020-02-12 23:05:39,15,23,12,2,2020
71477357,4.6,1596.0,6817.8,58.38,60.93,37.84,2020-02-12 23:07:12,15,23,12,2,2020
80074580,8.0,1856.0,14258.7,58.73,62.3,60.77,2020-02-12 23:09:21,15,23,12,2,2020
71477358,3.6,817.0,5691.9,57.83,61.69,54.55,2020-02-12 23:10:18,15,23,12,2,2020
80092945,40.8,3336.0,21106.0,48.73,59.58,181.92,2020-02-12 23:13:26,15,23,12,2,2020
80074580,8.0,1800.0,14259.2,58.58,62.52,60.77,2020-02-12 23:24:21,30,23,12,2,2020
80074581,0.3,5663.0,19010.7,62.37,62.38,1.1,2020-02-12 23:35:39,45,23,12,2,2020
71477357,3.5,868.0,6818.5,57.77,61.16,37.84,2020-02-12 23:37:12,45,23,12,2,2020
71438771,3.8,772.0,3704.5,57.53,62.13,17.06,2020-02-12 23:42:08,45,23,12,2,2020
71477357,3.6,876.0,6818.7,59.14,62.85,37.84,2020-02-12 23:52:12,60,23,12,2,2020
80074580,8.3,1832.0,14260.1,60.11,64.32,60.78,2020-02-12 23:54:21,60,23,12,2,2020
80092945,29.3,2481.0,21107.9,49.75,61.61,181.94,2020-02-12 23:58:27,60,23,12,2,2020
71438771,2.3,708.0,3704.9,59.46,62.42,17.06,2020-02-13 00:12:08,15,0,13,2,2020
80092945,9.0,1664.0,21108.4,56.59,61.37,181.94,2020-02-13 00:13:27,15,0,13,2,2020
80074581,1.0,5613.0,19015.0,62.88,63.03,1.1,2020-02-13 00:20:39,30,0,13,2,2020
71477357,15.5,885.0,6819.1,45.82,61.34,37.84,2020-02-13 00:22:12,30,0,13,2,2020
71477358,13.7,1634.0,5693.3,56.12,63.14,54.56,2020-02-13 00:25:18,30,0,13,2,2020
71438771,3.4,690.0,3705.0,58.12,61.88,17.06,2020-02-13 00:27:08,30,0,13,2,2020
80092948,9.7,5712.0,64474.4,60.96,62.48,122.05,2020-02-13 00:33:47,45,0,13,2,2020
71477357,3.8,884.0,6819.4,58.54,62.26,37.84,2020-02-13 00:37:12,45,0,13,2,2020
80074580,8.0,1816.0,14261.5,60.98,64.89,60.78,2020-02-13 00:39:21,45,0,13,2,2020
71477358,4.2,808.0,5693.6,59.29,63.86,54.56,2020-02-13 00:40:18,45,0,13,2,2020
71438771,4.0,692.0,3705.4,57.98,63.22,17.07,2020-02-13 00:57:08,60,0,13,2,2020
71477357,3.9,872.0,6819.8,59.9,63.81,37.84,2020-02-13 01:07:12,15,1,13,2,2020
80074580,7.3,1877.0,14262.4,61.95,65.35,60.79,2020-02-13 01:09:21,15,1,13,2,2020
71477358,9.1,1600.0,5694.2,59.85,64.82,54.57,2020-02-13 01:10:18,15,1,13,2,2020
80074580,7.4,1746.0,14262.9,62.41,66.14,60.79,2020-02-13 01:24:21,30,1,13,2,2020
80092945,10.4,1694.0,21111.1,57.94,63.18,181.96,2020-02-13 01:28:26,30,1,13,2,2020
71477357,4.4,883.0,6820.2,60.53,64.89,37.85,2020-02-13 01:37:12,45,1,13,2,2020
71438771,3.7,668.0,3705.9,61.24,65.21,17.07,2020-02-13 01:42:08,45,1,13,2,2020
80092948,11.0,6232.0,64482.2,64.49,66.06,122.07,2020-02-13 01:48:47,60,1,13,2,2020
71477357,4.3,879.0,6820.5,61.41,65.73,37.85,2020-02-13 01:52:12,60,1,13,2,2020
80074580,6.9,1728.0,14263.7,64.61,68.13,60.79,2020-02-13 01:54:21,60,1,13,2,2020
71477358,4.3,789.0,5695.0,62.53,67.37,54.58,2020-02-13 01:55:18,60,1,13,2,2020
80092945,10.1,1711.0,21112.0,59.98,65.17,181.97,2020-02-13 01:58:27,60,1,13,2,2020
71438771,3.1,663.0,3706.2,61.73,66.04,17.07,2020-02-13 02:12:08,15,2,13,2,2020
80092945,8.7,1635.0,21112.4,60.34,64.98,181.97,2020-02-13 02:13:27,15,2,13,2,2020
80074581,0.4,6175.0,19027.0,66.87,66.95,1.1,2020-02-13 02:20:39,30,2,13,2,2020
71477357,3.4,874.0,6820.9,61.83,65.3,37.85,2020-02-13 02:22:12,30,2,13,2,2020
71477358,3.5,752.0,5695.3,62.64,66.85,54.58,2020-02-13 02:25:18,30,2,13,2,2020
71438771,3.9,658.0,3706.4,60.71,65.95,17.07,2020-02-13 02:27:08,30,2,13,2,2020
80074580,11.1,1780.0,14265.0,62.87,68.16,60.8,2020-02-13 02:39:21,45,2,13,2,2020
71477358,18.5,1571.0,5695.6,58.22,67.81,54.58,2020-02-13 02:40:18,45,2,13,2,2020
80092945,18.1,2443.0,21113.4,58.89,64.91,181.98,2020-02-13 02:43:27,45,2,13,2,2020
80074581,429497000.0,6115.0,19031.6,67.63,67.58,1.1,2020-02-13 03:05:39,15,3,13,2,2020
71477357,4.5,873.0,6821.6,61.38,65.94,37.85,2020-02-13 03:07:12,15,3,13,2,2020
71477358,3.8,755.0,5696.2,62.9,67.35,54.58,2020-02-13 03:10:17,15,3,13,2,2020
71438771,2.7,623.0,3706.9,61.9,65.72,17.07,2020-02-13 03:12:08,15,3,13,2,2020
80074580,7.7,1786.0,14266.3,64.89,68.75,60.8,2020-02-13 03:24:21,30,3,13,2,2020
71477358,17.1,1553.0,5696.4,56.81,67.75,54.59,2020-02-13 03:25:17,30,3,13,2,2020
80092945,31.9,2427.0,21115.0,54.92,65.77,181.99,2020-02-13 03:28:26,30,3,13,2,2020
71438771,4.3,613.0,3707.2,60.5,66.98,17.07,2020-02-13 03:42:08,45,3,13,2,2020
80092948,11.1,6251.0,64494.5,66.11,67.74,122.1,2020-02-13 03:48:47,60,3,13,2,2020
80074581,0.1,6320.0,19036.2,69.3,69.33,1.1,2020-02-13 03:50:39,60,3,13,2,2020
71477357,4.9,883.0,6822.2,62.36,67.27,37.86,2020-02-13 03:52:12,60,3,13,2,2020
80074580,7.7,1740.0,14267.2,66.2,70.06,60.81,2020-02-13 03:54:21,60,3,13,2,2020
71477358,3.5,723.0,5697.0,64.8,69.12,54.59,2020-02-13 03:55:18,60,3,13,2,2020
80092945,44.3,2410.0,21116.1,51.61,66.89,182.0,2020-02-13 03:58:26,60,3,13,2,2020
80092948,9.2,6217.0,64496.1,66.78,68.06,122.1,2020-02-13 04:03:47,15,4,13,2,2020
80092945,13.6,2340.0,21116.5,61.67,66.79,182.0,2020-02-13 04:13:26,15,4,13,2,2020
80074581,0.0,6229.0,19039.3,69.99,69.97,1.1,2020-02-13 04:20:39,30,4,13,2,2020
71477357,5.1,868.0,6822.6,62.98,68.18,37.86,2020-02-13 04:22:12,30,4,13,2,2020
71438771,2.9,585.0,3707.6,63.72,68.06,17.08,2020-02-13 04:27:08,30,4,13,2,2020
80074581,0.3,6175.0,19040.8,70.16,70.23,1.1,2020-02-13 04:35:39,45,4,13,2,2020
80074580,6.4,1765.0,14268.5,67.13,70.37,60.81,2020-02-13 04:39:21,45,4,13,2,2020
71477358,4.3,723.0,5697.8,64.74,69.93,54.6,2020-02-13 04:40:18,45,4,13,2,2020
80092948,19.9,6525.0,64500.8,66.42,68.95,122.11,2020-02-13 04:48:47,60,4,13,2,2020
80074580,6.6,1743.0,14268.9,66.56,69.93,60.81,2020-02-13 04:54:21,60,4,13,2,2020
80092945,15.0,2412.0,21118.3,61.4,66.94,182.02,2020-02-13 04:58:27,60,4,13,2,2020
80074581,429497000.0,6140.0,19043.9,70.16,70.11,1.1,2020-02-13 05:05:39,15,5,13,2,2020
71477357,5.0,866.0,6823.3,63.28,68.39,37.86,2020-02-13 05:07:12,15,5,13,2,2020
71477358,3.9,729.0,5698.1,65.07,69.77,54.6,2020-02-13 05:10:17,15,5,13,2,2020
71438771,3.0,624.0,3708.1,63.95,68.22,17.08,2020-02-13 05:12:08,15,5,13,2,2020
71477357,4.0,858.0,6823.5,63.04,67.24,37.86,2020-02-13 05:22:12,30,5,13,2,2020
80074580,8.7,1789.0,14269.8,65.51,69.7,60.82,2020-02-13 05:24:21,30,5,13,2,2020
71477358,4.0,739.0,5698.3,64.33,69.11,54.6,2020-02-13 05:25:17,30,5,13,2,2020
80092945,13.6,2253.0,21119.4,61.29,66.55,182.02,2020-02-13 05:28:26,30,5,13,2,2020
71438771,3.8,603.0,3708.3,61.8,67.43,17.08,2020-02-13 05:42:08,45,5,13,2,2020
80074581,429497000.0,6216.0,19048.5,68.46,68.25,1.1,2020-02-13 05:50:39,60,5,13,2,2020
80074580,6.4,1808.0,14270.7,65.79,68.94,60.82,2020-02-13 05:54:21,60,5,13,2,2020
71477358,36.0,1584.0,5698.7,48.51,68.0,54.6,2020-02-13 05:55:17,60,5,13,2,2020
71438771,3.8,593.0,3708.5,60.52,66.79,17.08,2020-02-13 05:57:08,60,5,13,2,2020
80074580,6.9,1768.0,14271.1,65.53,68.92,60.82,2020-02-13 06:09:21,15,6,13,2,2020
71477358,8.0,1529.0,5699.1,63.67,68.27,54.61,2020-02-13 06:10:17,15,6,13,2,2020
80092945,18.0,2686.0,21121.1,59.89,65.81,182.04,2020-02-13 06:13:26,15,6,13,2,2020
80074581,0.0,6148.0,19053.0,67.86,67.86,1.1,2020-02-13 06:35:39,45,6,13,2,2020
71477357,0.0,0.0,6824.3,59.16,62.5,37.87,2020-02-13 06:37:12,45,6,13,2,2020
80074580,8.4,1703.0,14272.0,64.06,68.34,60.83,2020-02-13 06:39:21,45,6,13,2,2020
71477358,3.9,751.0,5699.6,62.9,67.53,54.61,2020-02-13 06:40:17,45,6,13,2,2020
71438771,2.7,588.0,3708.9,62.23,66.36,17.08,2020-02-13 06:42:08,45,6,13,2,2020
80074580,8.2,1793.0,14272.4,64.02,67.88,60.83,2020-02-13 06:54:21,60,6,13,2,2020
80092945,20.6,2646.0,21122.5,58.11,64.96,182.05,2020-02-13 06:58:26,60,6,13,2,2020
80074581,0.1,6318.0,19056.1,68.65,68.66,1.1,2020-02-13 07:05:39,15,7,13,2,2020
71438771,4.0,602.0,3709.2,60.96,67.06,17.09,2020-02-13 07:12:08,15,7,13,2,2020
80074581,0.2,6265.0,19057.7,68.75,68.8,1.1,2020-02-13 07:20:39,30,7,13,2,2020
71477357,0.0,0.0,6824.4,46.55,59.98,37.87,2020-02-13 07:22:12,30,7,13,2,2020
80074580,6.8,1757.0,14273.3,65.71,69.17,60.83,2020-02-13 07:24:20,30,7,13,2,2020
71477358,3.2,714.0,5700.5,64.36,68.42,54.62,2020-02-13 07:25:17,30,7,13,2,2020
80092945,114.6,4088.0,21123.6,42.0,64.85,182.07,2020-02-13 07:43:26,45,7,13,2,2020
80074581,0.9,6214.0,19060.7,65.52,65.67,1.1,2020-02-13 07:50:39,60,7,13,2,2020
71477357,0.5,17.0,6824.4,35.56,61.83,37.87,2020-02-13 07:52:12,60,7,13,2,2020
71477358,18.0,2379.0,5701.4,59.53,66.23,54.63,2020-02-13 07:55:17,60,7,13,2,2020
71438771,2.4,585.0,3709.7,60.94,65.01,17.09,2020-02-13 07:57:08,60,7,13,2,2020
80092948,17.2,6137.0,64521.1,63.42,65.85,122.16,2020-02-13 08:03:47,15,8,13,2,2020
71477357,30.4,869.0,6824.4,32.38,64.44,37.87,2020-02-13 08:07:12,15,8,13,2,2020
80074580,12.5,1882.0,14274.7,60.78,66.46,60.84,2020-02-13 08:09:21,15,8,13,2,2020
71477358,2.8,542.0,5701.6,61.61,66.33,54.63,2020-02-13 08:10:17,15,8,13,2,2020
80092945,29.9,3792.0,21125.3,56.93,63.33,182.09,2020-02-13 08:13:26,15,8,13,2,2020
71438771,1.5,555.0,3710.0,59.61,62.07,17.09,2020-02-13 08:27:08,30,8,13,2,2020
71477357,5.0,839.0,6824.8,57.64,63.04,37.88,2020-02-13 08:37:12,45,8,13,2,2020
71477358,2.7,544.0,5702.0,60.2,64.49,54.64,2020-02-13 08:40:17,45,8,13,2,2020
71438771,2.5,566.0,3710.2,59.2,63.05,17.09,2020-02-13 08:42:08,45,8,13,2,2020
80092948,24.4,6157.0,64525.7,60.54,63.72,122.18,2020-02-13 08:48:47,60,8,13,2,2020
80074580,9.3,1888.0,14276.1,61.0,65.33,60.85,2020-02-13 08:54:21,60,8,13,2,2020
71477358,18.7,1327.0,5702.2,52.04,64.48,54.64,2020-02-13 08:55:17,60,8,13,2,2020
80092945,41.4,3702.0,21128.5,53.21,62.63,182.12,2020-02-13 08:58:26,60,8,13,2,2020
71438771,3.7,570.0,3710.5,58.9,62.54,17.1,2020-02-13 09:12:07,15,9,13,2,2020
80092948,12.6,5677.0,64528.8,61.54,63.45,122.19,2020-02-13 09:18:47,30,9,13,2,2020
80074581,0.6,5879.0,19069.1,65.6,65.66,1.1,2020-02-13 09:20:39,30,9,13,2,2020
71477357,0.1,6.0,6824.9,46.56,59.86,37.88,2020-02-13 09:22:12,30,9,13,2,2020
80074580,14.5,1895.0,14277.1,59.68,66.59,60.86,2020-02-13 09:24:20,30,9,13,2,2020
71477358,40.8,2863.0,5702.6,52.71,65.77,54.64,2020-02-13 09:25:17,30,9,13,2,2020
80092945,55.6,4205.0,21130.4,52.27,63.55,182.13,2020-02-13 09:28:26,30,9,13,2,2020
80092945,67.7,4470.0,21131.5,49.36,63.56,182.15,2020-02-13 09:43:26,45,9,13,2,2020
80074581,0.7,5854.0,19071.9,66.28,66.34,1.1,2020-02-13 09:50:39,60,9,13,2,2020
71438771,2.7,600.0,3710.9,60.39,64.29,17.1,2020-02-13 09:57:08,60,9,13,2,2020
80092948,20.5,6192.0,64533.3,62.78,65.74,122.21,2020-02-13 10:03:47,15,10,13,2,2020
80074580,10.1,1840.0,14278.5,61.84,66.83,60.86,2020-02-13 10:09:20,15,10,13,2,2020
71477358,3.2,582.0,5703.7,61.43,66.25,54.66,2020-02-13 10:10:17,15,10,13,2,2020
80092945,25.2,2524.0,21133.3,55.05,64.03,182.16,2020-02-13 10:13:26,15,10,13,2,2020
71438771,2.5,566.0,3711.2,61.66,65.67,17.1,2020-02-13 10:27:08,30,10,13,2,2020
80074581,429497000.0,5785.0,19076.2,66.62,66.57,1.1,2020-02-13 10:35:39,45,10,13,2,2020
71477357,4.4,756.0,6826.0,60.42,65.5,37.89,2020-02-13 10:37:12,45,10,13,2,2020
80074580,9.1,1860.0,14279.4,63.44,67.79,60.87,2020-02-13 10:39:20,45,10,13,2,2020
71477358,2.9,540.0,5704.0,61.82,66.64,54.66,2020-02-13 10:40:17,45,10,13,2,2020
80074580,8.8,1872.0,14279.9,64.66,68.79,60.87,2020-02-13 10:54:20,60,10,13,2,2020
80092945,19.5,2556.0,21135.2,57.99,65.92,182.18,2020-02-13 10:58:26,60,10,13,2,2020
80074581,0.0,6014.0,19079.1,68.65,68.61,1.11,2020-02-13 11:05:39,15,11,13,2,2020
71477357,4.9,728.0,6826.4,61.15,66.94,37.89,2020-02-13 11:07:12,15,11,13,2,2020
71438771,2.3,563.0,3711.6,63.08,66.86,17.1,2020-02-13 11:12:08,15,11,13,2,2020
80074581,0.0,5820.0,19080.7,67.37,67.37,1.11,2020-02-13 11:20:39,30,11,13,2,2020
71477357,3.8,731.0,6826.6,61.58,66.15,37.89,2020-02-13 11:22:12,30,11,13,2,2020
80074580,10.5,1902.0,14280.8,63.46,68.07,60.88,2020-02-13 11:24:21,30,11,13,2,2020
71477358,3.2,548.0,5704.6,61.94,67.16,54.67,2020-02-13 11:25:17,30,11,13,2,2020
80092945,7.6,1319.0,21136.3,59.88,64.94,182.19,2020-02-13 11:28:26,30,11,13,2,2020
71438771,3.4,592.0,3711.9,62.79,68.0,17.1,2020-02-13 11:42:08,45,11,13,2,2020
80074581,0.5,6204.0,19083.7,69.79,69.85,1.11,2020-02-13 11:50:39,60,11,13,2,2020
71477357,4.4,722.0,6826.9,62.27,67.84,37.9,2020-02-13 11:52:12,60,11,13,2,2020
71477358,3.2,547.0,5704.9,64.2,69.55,54.67,2020-02-13 11:55:17,60,11,13,2,2020
71438771,2.6,555.0,3712.1,63.89,68.09,17.1,2020-02-13 11:57:08,60,11,13,2,2020
80074580,8.8,1878.0,14282.2,64.5,69.16,60.88,2020-02-13 12:09:21,15,12,13,2,2020
71477358,3.5,536.0,5705.0,62.77,68.72,54.67,2020-02-13 12:10:17,15,12,13,2,2020
80092945,48.3,3604.0,21137.8,55.53,66.82,182.21,2020-02-13 12:13:27,15,12,13,2,2020
71438771,5.6,588.0,3712.3,60.14,67.43,17.1,2020-02-13 12:27:08,30,12,13,2,2020
80074581,429497000.0,5797.0,19088.1,68.94,68.94,1.11,2020-02-13 12:35:39,45,12,13,2,2020
80074580,14.1,1890.0,14283.1,62.67,69.08,60.89,2020-02-13 12:39:21,45,12,13,2,2020
71477358,22.7,1303.0,5705.4,54.69,68.64,54.68,2020-02-13 12:40:17,45,12,13,2,2020
80092945,14.1,2257.0,21140.1,60.47,65.89,182.24,2020-02-13 12:58:27,60,12,13,2,2020
80074581,0.2,5967.0,19091.1,68.3,68.34,1.11,2020-02-13 13:05:38,15,13,13,2,2020
